Record Number,Name,Core ID,Code,Type,Status,Holder,Grant date,Expiry date,Cadastral units (CU),Area (km²),States,LGAs,Minerals
13,,34164,SSML-034164,Small Scale Mining Lease,Blocked,SILVER CAT ASSOCIATES NIGERIA LIMITED,31/05/2021,30/05/2026,15,3.17,Adamawa,Fufore,Wolframite
14,"Dawo District ,Toungo LGA",60775,EL-060775,Exploration License,Valid,TERRANOK AFRICA LTD,23/10/2024,22/10/2027,260,55.08,Adamawa,Toungo,"Lithium,Niobium,Tantalum,Gold"
15,,62331,EL-062331,Exploration License,Valid,NANA KANGO MINIS LTD,26/08/2024,25/08/2027,54,11.34,Adamawa,"Madagali, Michika","Copper,Lithium,Monazite"
16,KOGIN BABA DISTRICT - TOUNGO LGA,60776,EL-060776,Exploration License,Valid,TERRANOK AFRICA LTD,23/10/2024,22/10/2027,117,24.79,Adamawa,Toungo,"Lithium,Niobium,Titanium,Gold"
17,MAYOR-BELWA,62681,SSML-062681,Small Scale Mining Lease,Valid,MAMUDI MINING CO. LTD,15/10/2024,14/10/2029,3,0.63,Adamawa,Mayo-Belwa,"Lithium,Fluorspar/fluorite,Ilmenite"
18,FUFORE / YOLA SOUTH,63610,EL-063610,Exploration License,Valid,COMPREHENSIVE GEOLOGICAL ENGINEERING COMPANY LIMITED,30/10/2024,29/10/2027,40,8.45,Adamawa,Yola South,"Copper,Lead,Fluorspar/fluorite,Tourmaline (blue),Wolframite"
19,,32110,EL-032110,Exploration License,Released,KAMJEED VENTURES LIMITED,06/11/2020,05/11/2023,150,31.79,Adamawa,Ganye,"Copper,Fluorspar/fluorite,Tourmaline (others),Gold,Baryte,Sapphire"
20,Demsa,36059,SSML-036059,Small Scale Mining Lease,Blocked,NGURORE MINERS CO-OPERATIVE SOCIETY,05/05/2022,04/05/2027,4,0.85,Adamawa,Demsa,Sand
21,TOUNGO,41013,EL-041013,Exploration License,Released,ALAMTIKA VOYAGE OIL & GAS LIMITED,25/11/2022,24/11/2025,96,20.35,Adamawa,Toungo,"Copper,Lithium,Tourmaline (blue),Baryte"
22,Ganye,36085,SSML-036085,Small Scale Mining Lease,Blocked,JAWWAL PROJECTS LTD,05/05/2022,04/05/2027,5,1.06,Adamawa,Toungo,"Copper,Lithium,Fluorspar/fluorite"
